Longitude;Latitude;Date;Time
116.340965;39.97779;16/12/17;01:00:33
116.344106;39.980635;16/12/17;01:05:23
116.345811;39.980928;16/12/17;01:07:43
116.345531;39.982345;16/12/17;03:42:56
116.344465;39.982379;16/12/17;03:45:01
116.340291;39.981862;16/12/17;03:49:11
116.340291;39.981862;16/12/17;03:49:11
116.338813;39.98118;16/12/17;03:55:06
116.339637;39.980509;16/12/17;04:11:36
116.343793;39.981532;16/12/17;04:16:06
116.346284;39.980736;16/12/17;04:18:56
116.342509;39.981638;16/12/17;09:33:42
116.339833;39.981323;16/12/17;09:36:02
116.338837;39.981429;16/12/17;09:40:02
116.340839;39.981167;16/12/17;09:44:07
116.336765;39.982044;16/12/17;10:14:37
116.339483;39.982108;16/12/17;10:19:32
116.343213;39.981876;16/12/17;10:24:47
116.346278;39.980496;16/12/17;10:28:42
116.346059;39.980361;16/12/17;10:39:37
116.346542;39.981733;16/12/17;10:43:37
116.341467;39.983078;16/12/17;10:47:12
116.346131;39.981833;16/12/17;10:50:22
116.346659;39.981891;16/12/17;10:56:07
116.346252;39.981739;16/12/17;10:59:27
116.345977;39.981535;16/12/17;11:04:42
116.344799;39.981593;16/12/17;11:08:32
116.346153;39.981692;16/12/17;11:15:17
116.346385;39.981837;16/12/17;11:19:52
116.346277;39.981993;16/12/17;11:25:22
116.346136;39.981963;16/12/17;11:30:12
116.346197;39.981698;16/12/17;11:34:52
116.346268;39.982106;16/12/17;11:43:47
116.346204;39.981764;16/12/17;11:47:02
116.346159;39.98179;16/12/17;11:50:22
116.346507;39.982035;16/12/17;11:55:42
116.346205;39.981934;16/12/17;11:59:07
116.346076;39.982089;16/12/17;12:06:57
116.346023;39.981673;16/12/17;12:10:12
116.346374;39.981819;16/12/17;12:15:07
116.345951;39.981902;16/12/17;12:25:17
116.346198;39.982003;16/12/17;12:30:12
116.346355;39.981681;16/12/17;12:34:57
116.34626;39.982048;16/12/17;12:39:17
116.346067;39.981851;16/12/17;12:49:02
116.346196;39.981811;16/12/17;12:52:32
116.346162;39.981916;16/12/17;12:55:12
116.346327;39.981815;16/12/17;13:07:12
116.345859;39.982192;16/12/17;13:09:17
116.346149;39.981719;16/12/17;13:13:07
116.346198;39.981804;16/12/17;13:17:17
116.345713;39.981758;16/12/17;13:23:37
116.345931;39.982043;16/12/17;13:28:07
116.346369;39.981789;16/12/17;13:31:32
116.346179;39.981755;16/12/17;13:35:12
116.345235;39.981365;16/12/17;13:50:28
116.346235;39.981816;16/12/17;13:55:08
116.346113;39.981947;16/12/17;13:59:33
116.346347;39.981986;16/12/17;14:00:59
116.346311;39.981835;16/12/17;14:05:34
116.345945;39.981925;16/12/17;14:10:54
116.345962;39.981857;16/12/17;14:15:59
116.34589;39.982151;16/12/17;14:20:19
116.346008;39.981702;16/12/17;14:22:24
116.346147;39.981469;16/12/17;14:26:14
116.345882;39.982231;16/12/17;14:30:24
116.346315;39.981674;16/12/17;14:35:24
116.345865;39.981927;16/12/17;14:40:54
116.345976;39.980993;16/12/17;14:45:56
116.345886;39.981504;16/12/17;14:50:17
116.345938;39.981384;16/12/17;14:52:50
116.345749;39.981414;16/12/17;14:56:47
116.345895;39.981597;16/12/17;15:00:58
116.345876;39.98112;16/12/17;15:03:13
116.346002;39.980822;16/12/17;15:15:58
116.343778;39.98152;16/12/17;15:20:34
116.339661;39.980999;16/12/17;15:26:59
116.33879;39.979528;16/12/17;15:30:59
116.338886;39.976614;16/12/17;15:36:09
116.340664;39.976888;16/12/17;15:48:24
116.339135;39.977253;16/12/17;15:56:59
116.340451;39.976985;16/12/17;15:59:34
