;Longitude;;Latitude;;Date;Time
[;116.3388;,;39.97778333;];2017-08-05T;01:33:30
[;116.3393833;,;39.9768;];2017-08-05T;01:40:07
[;116.3393833;,;39.9768;];2017-08-05T;01:40:07
[;116.33875;,;39.97891667;];2017-08-05T;01:45:22
[;116.33875;,;39.97891667;];2017-08-05T;01:45:22
[;116.3374667;,;39.98171667;];2017-08-05T;01:50:26
[;116.3374667;,;39.98171667;];2017-08-05T;01:50:26
[;116.3372167;,;39.98176667;];2017-08-05T;02:17:08
[;116.3372167;,;39.98176667;];2017-08-05T;02:17:08
[;116.3394333;,;39.98188333;];2017-08-05T;02:20:15
[;116.3394333;,;39.98188333;];2017-08-05T;02:20:15
[;116.3417833;,;39.98045;];2017-08-05T;02:25:16
[;116.3417833;,;39.98045;];2017-08-05T;02:25:16
[;116.3454333;,;39.97983333;];2017-08-05T;02:30:07
[;116.3454333;,;39.97983333;];2017-08-05T;02:30:07
[;116.3473667;,;39.9793;];2017-08-05T;04:03:17
[;116.3473667;,;39.9793;];2017-08-05T;04:03:17
[;116.3420167;,;39.97998333;];2017-08-05T;04:07:36
[;116.3420167;,;39.97998333;];2017-08-05T;04:07:36
[;116.33905;,;39.98045;];2017-08-05T;04:11:27
[;116.33905;,;39.98045;];2017-08-05T;04:11:27
[;116.3388167;,;39.98046667;];2017-08-05T;04:33:53
[;116.3388167;,;39.98046667;];2017-08-05T;04:33:53
[;116.3393167;,;39.97983333;];2017-08-05T;04:35:06
[;116.3393167;,;39.97983333;];2017-08-05T;04:35:06
[;116.3428833;,;39.97991667;];2017-08-05T;04:40:23
[;116.3428833;,;39.97991667;];2017-08-05T;04:40:23
[;116.3454333;,;39.97975;];2017-08-05T;04:43:35
[;116.3454333;,;39.97975;];2017-08-05T;04:43:35
[;116.34605;,;39.97965;];2017-08-05T;07:25:01
[;116.34605;,;39.97965;];2017-08-05T;07:25:01
[;116.3470333;,;39.97875;];2017-08-05T;07:28:00
[;116.3470333;,;39.97875;];2017-08-05T;07:28:00
[;116.34735;,;39.9758;];2017-08-05T;07:32:02
[;116.34735;,;39.9758;];2017-08-05T;07:32:02
[;116.3466167;,;39.97335;];2017-08-05T;07:36:53
[;116.3466167;,;39.97335;];2017-08-05T;07:36:53
[;116.3466667;,;39.9731;];2017-08-05T;07:45:13
[;116.3466667;,;39.9731;];2017-08-05T;07:45:13
[;116.3468833;,;39.96308333;];2017-08-05T;07:48:11
[;116.3468833;,;39.96308333;];2017-08-05T;07:48:11
[;116.3521833;,;39.95653333;];2017-08-05T;07:51:16
[;116.3521833;,;39.95653333;];2017-08-05T;07:51:16
[;116.3611167;,;39.9567;];2017-08-05T;07:55:50
[;116.3611167;,;39.9567;];2017-08-05T;07:55:50
[;116.3634833;,;39.95676667;];2017-08-05T;08:00:24
[;116.3634833;,;39.95676667;];2017-08-05T;08:00:24
[;116.3670333;,;39.95665;];2017-08-05T;08:04:48
[;116.3670333;,;39.95665;];2017-08-05T;08:04:48
[;116.3699833;,;39.95578333;];2017-08-05T;08:17:16
[;116.3699833;,;39.95578333;];2017-08-05T;08:17:16
