;Longitude;Latitude;;Date;Time
[;116.340965;39.97779;];2017-12-16T;01:00:33
[;116.340965;39.97779;];2017-12-16T;01:00:33
[;116.344106;39.980635;];2017-12-16T;01:05:23
[;116.344106;39.980635;];2017-12-16T;01:05:23
[;116.345811;39.980928;];2017-12-16T;01:07:43
[;116.345811;39.980928;];2017-12-16T;01:07:43
[;116.345531;39.982345;];2017-12-16T;03:42:56
[;116.345531;39.982345;];2017-12-16T;03:42:56
[;116.344465;39.982379;];2017-12-16T;03:45:01
[;116.344465;39.982379;];2017-12-16T;03:45:01
[;116.340291;39.981862;];2017-12-16T;03:49:11
[;116.340291;39.981862;];2017-12-16T;03:49:11
[;116.340291;39.981862;];2017-12-16T;03:49:11
[;116.340291;39.981862;];2017-12-16T;03:49:11
[;116.338813;39.98118;];2017-12-16T;03:55:06
[;116.338813;39.98118;];2017-12-16T;03:55:06
[;116.339637;39.980509;];2017-12-16T;04:11:36
[;116.339637;39.980509;];2017-12-16T;04:11:36
[;116.343793;39.981532;];2017-12-16T;04:16:06
[;116.343793;39.981532;];2017-12-16T;04:16:06
[;116.346284;39.980736;];2017-12-16T;04:18:56
[;116.346284;39.980736;];2017-12-16T;04:18:56
[;116.342509;39.981638;];2017-12-16T;09:33:42
[;116.342509;39.981638;];2017-12-16T;09:33:42
[;116.339833;39.981323;];2017-12-16T;09:36:02
[;116.339833;39.981323;];2017-12-16T;09:36:02
[;116.338837;39.981429;];2017-12-16T;09:40:02
[;116.338837;39.981429;];2017-12-16T;09:40:02
[;116.340839;39.981167;];2017-12-16T;09:44:07
[;116.340839;39.981167;];2017-12-16T;09:44:07
[;116.336765;39.982044;];2017-12-16T;10:14:37
[;116.336765;39.982044;];2017-12-16T;10:14:37
[;116.339483;39.982108;];2017-12-16T;10:19:32
[;116.339483;39.982108;];2017-12-16T;10:19:32
[;116.343213;39.981876;];2017-12-16T;10:24:47
[;116.343213;39.981876;];2017-12-16T;10:24:47
[;116.346278;39.980496;];2017-12-16T;10:28:42
[;116.346278;39.980496;];2017-12-16T;10:28:42
[;116.346059;39.980361;];2017-12-16T;10:39:37
[;116.346059;39.980361;];2017-12-16T;10:39:37
[;116.346542;39.981733;];2017-12-16T;10:43:37
[;116.346542;39.981733;];2017-12-16T;10:43:37
[;116.341467;39.983078;];2017-12-16T;10:47:12
[;116.341467;39.983078;];2017-12-16T;10:47:12
[;116.346131;39.981833;];2017-12-16T;10:50:22
[;116.346131;39.981833;];2017-12-16T;10:50:22
[;116.346659;39.981891;];2017-12-16T;10:56:07
[;116.346659;39.981891;];2017-12-16T;10:56:07
[;116.346252;39.981739;];2017-12-16T;10:59:27
[;116.346252;39.981739;];2017-12-16T;10:59:27
[;116.345977;39.981535;];2017-12-16T;11:04:42
[;116.345977;39.981535;];2017-12-16T;11:04:42
[;116.344799;39.981593;];2017-12-16T;11:08:32
[;116.344799;39.981593;];2017-12-16T;11:08:32
[;116.346153;39.981692;];2017-12-16T;11:15:17
[;116.346153;39.981692;];2017-12-16T;11:15:17
[;116.346385;39.981837;];2017-12-16T;11:19:52
[;116.346385;39.981837;];2017-12-16T;11:19:52
[;116.346277;39.981993;];2017-12-16T;11:25:22
[;116.346277;39.981993;];2017-12-16T;11:25:22
[;116.346136;39.981963;];2017-12-16T;11:30:12
[;116.346136;39.981963;];2017-12-16T;11:30:12
[;116.346197;39.981698;];2017-12-16T;11:34:52
[;116.346197;39.981698;];2017-12-16T;11:34:52
[;116.346268;39.982106;];2017-12-16T;11:43:47
[;116.346268;39.982106;];2017-12-16T;11:43:47
[;116.346204;39.981764;];2017-12-16T;11:47:02
[;116.346204;39.981764;];2017-12-16T;11:47:02
[;116.346159;39.98179;];2017-12-16T;11:50:22
[;116.346159;39.98179;];2017-12-16T;11:50:22
[;116.346507;39.982035;];2017-12-16T;11:55:42
[;116.346507;39.982035;];2017-12-16T;11:55:42
[;116.346205;39.981934;];2017-12-16T;11:59:07
[;116.346205;39.981934;];2017-12-16T;11:59:07
[;116.346076;39.982089;];2017-12-16T;12:06:57
[;116.346076;39.982089;];2017-12-16T;12:06:57
[;116.346023;39.981673;];2017-12-16T;12:10:12
[;116.346023;39.981673;];2017-12-16T;12:10:12
[;116.346374;39.981819;];2017-12-16T;12:15:07
[;116.346374;39.981819;];2017-12-16T;12:15:07
[;116.345951;39.981902;];2017-12-16T;12:25:17
[;116.345951;39.981902;];2017-12-16T;12:25:17
[;116.346198;39.982003;];2017-12-16T;12:30:12
[;116.346198;39.982003;];2017-12-16T;12:30:12
[;116.346355;39.981681;];2017-12-16T;12:34:57
[;116.346355;39.981681;];2017-12-16T;12:34:57
[;116.34626;39.982048;];2017-12-16T;12:39:17
[;116.34626;39.982048;];2017-12-16T;12:39:17
[;116.346067;39.981851;];2017-12-16T;12:49:02
[;116.346067;39.981851;];2017-12-16T;12:49:02
[;116.346196;39.981811;];2017-12-16T;12:52:32
[;116.346196;39.981811;];2017-12-16T;12:52:32
[;116.346162;39.981916;];2017-12-16T;12:55:12
[;116.346162;39.981916;];2017-12-16T;12:55:12
[;116.346327;39.981815;];2017-12-16T;13:07:12
[;116.346327;39.981815;];2017-12-16T;13:07:12
[;116.345859;39.982192;];2017-12-16T;13:09:17
[;116.345859;39.982192;];2017-12-16T;13:09:17
[;116.346149;39.981719;];2017-12-16T;13:13:07
[;116.346149;39.981719;];2017-12-16T;13:13:07
[;116.346198;39.981804;];2017-12-16T;13:17:17
