Latitude;Longitude;Date;Time
39.97779;116.340965;16/12/08;01:00:33
39.97805;116.340878;16/12/08;01:00:38
39.978078;116.340893;16/12/08;01:00:43
39.978058;116.34098;16/12/08;01:00:48
39.97819;116.341043;16/12/08;01:00:53
39.978123;116.341208;16/12/08;01:00:58
39.978033;116.341306;16/12/08;01:01:03
39.978061;116.341481;16/12/08;01:01:08
39.978082;116.341513;16/12/08;01:01:13
39.978038;116.341586;16/12/08;01:01:18
39.978058;116.341737;16/12/08;01:01:23
39.978107;116.341886;16/12/08;01:01:28
39.978063;116.342062;16/12/08;01:01:33
39.978008;116.342156;16/12/08;01:01:38
39.978116;116.342228;16/12/08;01:01:43
39.978277;116.342159;16/12/08;01:01:48
39.978344;116.342119;16/12/08;01:01:53
39.978408;116.342164;16/12/08;01:01:58
39.978452;116.342186;16/12/08;01:02:03
39.978526;116.342232;16/12/08;01:02:08
39.978575;116.342228;16/12/08;01:02:13
39.978576;116.342271;16/12/08;01:02:18
39.978651;116.34225;16/12/08;01:02:23
39.978742;116.342189;16/12/08;01:02:28
39.978742;116.342208;16/12/08;01:02:33
39.978784;116.342217;16/12/08;01:02:38
39.97893;116.342172;16/12/08;01:02:43
39.979067;116.342051;16/12/08;01:02:48
39.97908;116.342142;16/12/08;01:02:53
39.979141;116.342141;16/12/08;01:02:58
39.979198;116.3421;16/12/08;01:03:03
39.979238;116.342148;16/12/08;01:03:08
39.979324;116.342199;16/12/08;01:03:13
39.979443;116.342272;16/12/08;01:03:18
39.979426;116.342324;16/12/08;01:03:23
39.979442;116.342351;16/12/08;01:03:28
39.979621;116.342375;16/12/08;01:03:33
39.979685;116.342381;16/12/08;01:03:38
39.979669;116.342709;16/12/08;01:03:43
39.979715;116.342772;16/12/08;01:03:48
39.979835;116.342833;16/12/08;01:03:53
39.979824;116.34292;16/12/08;01:03:58
39.979835;116.343004;16/12/08;01:04:03
39.979856;116.343057;16/12/08;01:04:08
39.97986;116.343183;16/12/08;01:04:13
39.979906;116.343179;16/12/08;01:04:18
39.980037;116.343149;16/12/08;01:04:23
39.980108;116.343203;16/12/08;01:04:28
39.980151;116.343252;16/12/08;01:04:33
39.980204;116.34329;16/12/08;01:04:38
39.980238;116.343351;16/12/08;01:04:43
39.980246;116.343418;16/12/08;01:04:48
39.980248;116.343522;16/12/08;01:04:53
39.98031;116.343597;16/12/08;01:04:58
39.98036;116.343658;16/12/08;01:05:03
39.980416;116.343784;16/12/08;01:05:08
39.980515;116.34386;16/12/08;01:05:13
39.980579;116.343997;16/12/08;01:05:18
39.980635;116.344106;16/12/08;01:05:23
39.980685;116.344141;16/12/08;01:05:28
39.980733;116.344255;16/12/08;01:05:33
39.980794;116.344349;16/12/08;01:05:38
39.980864;116.344391;16/12/08;01:05:43
39.980778;116.344477;16/12/08;01:05:48
39.980774;116.344526;16/12/08;01:05:53
39.980771;116.344575;16/12/08;01:05:58
39.98029;116.34503;16/12/08;01:06:03
39.980326;116.345041;16/12/08;01:06:08
39.980344;116.345146;16/12/08;01:06:13
39.980368;116.345244;16/12/08;01:06:18
39.980175;116.345753;16/12/08;01:06:23
39.980231;116.345724;16/12/08;01:06:28
39.980262;116.345691;16/12/08;01:06:33
39.980285;116.345657;16/12/08;01:06:43
39.980333;116.34566;16/12/08;01:06:48
39.980409;116.345662;16/12/08;01:06:53
39.980489;116.345663;16/12/08;01:06:58
39.980597;116.345727;16/12/08;01:07:03
39.98071;116.345836;16/12/08;01:07:08
39.980864;116.345887;16/12/08;01:07:13
39.98088;116.345925;16/12/08;01:07:18
39.980788;116.34593;16/12/08;01:07:23
39.98087;116.3459;16/12/08;01:07:28
39.980981;116.345834;16/12/08;01:07:33
39.980994;116.345833;16/12/08;01:07:38
39.980928;116.345811;16/12/08;01:07:43
39.982345;116.345531;16/12/08;03:42:56
39.981778;116.345628;16/12/08;03:43:01
39.981859;116.345813;16/12/08;03:43:06
39.982031;116.345672;16/12/08;03:43:11
39.982085;116.345618;16/12/08;03:43:16
39.981954;116.345631;16/12/08;03:43:21
39.981975;116.345526;16/12/08;03:43:26
39.982055;116.345403;16/12/08;03:43:31
39.98212;116.345313;16/12/08;03:43:36
39.982094;116.345212;16/12/08;03:43:41
39.982065;116.345152;16/12/08;03:43:46
