Name	,	Latitude	,	Longitude	,	Time
User 1	,	39.984523	,	116.315823	,	2:54:25
User 1	,	39.984574	,	116.315611	,	2:54:30
User 1	,	39.984568	,	116.315407	,	2:54:35
User 1	,	39.984538	,	116.315148	,	2:54:40
User 1	,	39.984501	,	116.314907	,	2:54:45
User 1	,	39.984532	,	116.314808	,	2:54:50
User 1	,	39.984504	,	116.314625	,	2:54:55
User 1	,	39.984485	,	116.314426	,	2:55:00
User 1	,	39.984427	,	116.31424	,	2:55:05
User 1	,	39.984485	,	116.314042	,	2:55:10
User 1	,	39.98448	,	116.313818	,	2:55:15
User 1	,	39.984501	,	116.313659	,	2:55:20
User 1	,	39.984618	,	116.314323	,	2:55:25
User 1	,	39.984649	,	116.314107	,	2:55:30
User 1	,	39.984621	,	116.313941	,	2:55:35
User 1	,	39.984655	,	116.313724	,	2:55:40
User 1	,	39.984681	,	116.313521	,	2:55:45
User 1	,	39.984708	,	116.313311	,	2:55:50
User 1	,	39.984708	,	116.313099	,	2:55:55
User 1	,	39.984696	,	116.312921	,	2:56:00
User 1	,	39.984677	,	116.312746	,	2:56:05
User 1	,	39.984682	,	116.312525	,	2:56:10
User 1	,	39.984649	,	116.312332	,	2:56:15
User 1	,	39.984641	,	116.312123	,	2:56:20
User 1	,	39.984647	,	116.311917	,	2:56:25
User 1	,	39.984654	,	116.31172	,	2:56:30
User 1	,	39.984631	,	116.311569	,	2:56:35
User 1	,	39.984647	,	116.31138	,	2:56:40
User 1	,	39.984653	,	116.311189	,	2:56:45
User 1	,	39.984628	,	116.311026	,	2:56:50
User 1	,	39.984652	,	116.310854	,	2:56:55
User 1	,	39.984656	,	116.31066	,	2:57:00
User 1	,	39.984616	,	116.310534	,	2:57:05
User 1	,	39.984676	,	116.31033	,	2:57:10
User 1	,	39.984698	,	116.310063	,	2:57:15
User 1	,	39.984696	,	116.309937	,	2:57:20
User 1	,	39.984663	,	116.309851	,	2:57:25
User 1	,	39.984598	,	116.309749	,	2:57:30
User 1	,	39.98454	,	116.309656	,	2:57:35
User 1	,	39.984525	,	116.309503	,	2:57:40
User 1	,	39.984498	,	116.309348	,	2:57:45
User 1	,	39.984481	,	116.309173	,	2:57:50
User 1	,	39.984489	,	116.308993	,	2:57:55
User 1	,	39.98447	,	116.308827	,	2:58:00
User 1	,	39.98449	,	116.308638	,	2:58:05
User 1	,	39.98449	,	116.308485	,	2:58:10
User 1	,	39.984494	,	116.308351	,	2:58:15
User 1	,	39.984499	,	116.308201	,	2:58:20
User 1	,	39.984484	,	116.308049	,	2:58:25
User 1	,	39.984491	,	116.307902	,	2:58:30
User 1	,	39.984499	,	116.307809	,	2:58:35
User 1	,	39.984472	,	116.307687	,	2:58:40
User 1	,	39.984493	,	116.307548	,	2:58:45
User 1	,	39.984488	,	116.307434	,	2:58:50
User 1	,	39.984427	,	116.307292	,	2:58:55
User 1	,	39.984428	,	116.307126	,	2:59:00
User 1	,	39.984432	,	116.306943	,	2:59:05
User 1	,	39.984425	,	116.306801	,	2:59:10
User 1	,	39.984438	,	116.306633	,	2:59:15
User 1	,	39.984462	,	116.306486	,	2:59:20
User 1	,	39.984466	,	116.3063	,	2:59:25
User 1	,	39.984456	,	116.306047	,	2:59:30
User 1	,	39.984454	,	116.305854	,	2:59:35
User 1	,	39.984412	,	116.305682	,	2:59:40
