Order	,	Name	,	Latitude	,	Longitude	,	Date	,	Time
1	,	User 1	,	39.906098	,	116.206722	,	2008-11-09	,	23:32:08
2	,	User 1	,	39.906108	,	116.206647	,	2008-11-09	,	23:32:13
3	,	User 1	,	39.906119	,	116.206557	,	2008-11-09	,	23:32:18
4	,	User 1	,	39.906078	,	116.206755	,	2008-11-09	,	23:32:23
5	,	User 1	,	39.906077	,	116.206678	,	2008-11-09	,	23:32:28
6	,	User 1	,	39.906124	,	116.206598	,	2008-11-09	,	23:32:33
7	,	User 1	,	39.906184	,	116.206512	,	2008-11-09	,	23:32:38
8	,	User 1	,	39.906194	,	116.206352	,	2008-11-09	,	23:32:43
9	,	User 1	,	39.906162	,	116.206231	,	2008-11-09	,	23:32:48
10	,	User 1	,	39.906046	,	116.206099	,	2008-11-09	,	23:32:53
11	,	User 1	,	39.905923	,	116.205999	,	2008-11-09	,	23:32:58
12	,	User 1	,	39.90588	,	116.205977	,	2008-11-09	,	23:33:03
13	,	User 1	,	39.905855	,	116.205941	,	2008-11-09	,	23:33:08
14	,	User 1	,	39.90582	,	116.205906	,	2008-11-09	,	23:33:13
15	,	User 1	,	39.905801	,	116.205952	,	2008-11-09	,	23:33:18
16	,	User 1	,	39.905808	,	116.205976	,	2008-11-09	,	23:33:23
17	,	User 1	,	39.905818	,	116.20601	,	2008-11-09	,	23:33:28
18	,	User 1	,	39.905823	,	116.206066	,	2008-11-09	,	23:33:33
19	,	User 1	,	39.905847	,	116.206145	,	2008-11-09	,	23:33:38
20	,	User 1	,	39.905887	,	116.206187	,	2008-11-09	,	23:33:43
21	,	User 1	,	39.905921	,	116.206233	,	2008-11-09	,	23:33:48
22	,	User 1	,	39.90596	,	116.2063	,	2008-11-09	,	23:33:53
23	,	User 1	,	39.905977	,	116.206359	,	2008-11-09	,	23:33:58
24	,	User 1	,	39.90569	,	116.384583	,	2008-11-10	,	0:05:38
25	,	User 1	,	39.905664	,	116.384631	,	2008-11-10	,	0:05:43
26	,	User 1	,	39.905662	,	116.384702	,	2008-11-10	,	0:05:48
27	,	User 1	,	39.90561	,	116.384752	,	2008-11-10	,	0:05:53
28	,	User 1	,	39.905615	,	116.384815	,	2008-11-10	,	0:05:58
29	,	User 1	,	39.905617	,	116.384887	,	2008-11-10	,	0:06:03
30	,	User 1	,	39.905631	,	116.384964	,	2008-11-10	,	0:06:08
31	,	User 1	,	39.905623	,	116.385002	,	2008-11-10	,	0:06:13
32	,	User 1	,	39.905603	,	116.385069	,	2008-11-10	,	0:06:18
33	,	User 1	,	39.905583	,	116.385152	,	2008-11-10	,	0:06:23
34	,	User 1	,	39.905543	,	116.385206	,	2008-11-10	,	0:06:28
35	,	User 1	,	39.905475	,	116.385194	,	2008-11-10	,	0:06:33
