name;latitude;longitude;date;time
User 1;39.906098;116.206722;09/05/07;23:32:08
User 1;39.906124;116.206598;09/06/07;23:32:33
User 1;39.905923;116.205999;09/08/07;23:32:58
User 1;39.905823;116.206066;09/09/07;23:33:33
User 1;39.906108;116.206647;09/03/08;23:32:13
User 1;39.906077;116.206678;09/03/08;23:32:28
User 1;39.905818;116.20601;29/02/08;23:33:28
User 1;39.905664;116.384631;10/07/08;00:05:43
User 1;39.905921;116.206233;09/03/08;23:33:48
User 1;39.904698;116.385307;17/04/08;00:07:33
User 1;39.904856;116.385279;10/06/08;00:07:23
User 1;39.904698;116.385307;17/04/08;00:07:33
User 1;39.906119;116.206557;19/02/09;23:32:18
User 1;39.906194;116.206352;09/02/09;23:32:43
User 1;39.906046;116.206099;04/03/09;23:32:53
User 1;39.90588;116.205977;09/03/09;23:33:03
User 1;39.905977;116.206359;09/10/09;23:33:58
User 1;39.90569;116.384583;24/11/09;00:05:38
User 1;39.905847;116.206145;09/03/09;23:33:38
User 1;39.905583;116.385152;10/10/09;00:11:23
User 1;39.905043;116.385271;10/10/09;00:07:08
User 1;39.904296;116.385335;10/07/09;00:08:03
User 1;39.904296;116.385335;10/07/09;00:08:03
User 1;39.900649;116.386426;10/01/09;01:13:43
User 1;39.904618;116.38533;10/10/09;00:07:38
User 1;39.906078;116.206755;04/03/10;23:32:23
User 1;39.906162;116.206231;14/03/10;23:32:48
User 1;39.90561;116.384752;17/09/10;00:06:53
User 1;39.905855;116.205941;24/02/10;23:33:08
User 1;39.905887;116.206187;21/02/10;23:33:43
User 1;39.905887;116.206187;21/02/10;23:33:43
User 1;39.905617;116.384887;16/07/10;00:06:03
User 1;39.904976;116.385278;03/07/10;00:07:13
User 1;39.904976;116.385278;03/07/10;00:07:13
User 1;39.905371;116.385213;20/08/10;01:26:53
User 1;39.904756;116.385305;10/04/10;00:07:28
User 1;39.904418;116.385326;10/08/10;00:07:53
User 1;39.904243;116.385314;10/06/10;00:08:08
User 1;39.90582;116.205906;10/04/11;23:33:13
User 1;39.905808;116.205976;09/03/11;23:33:23
User 1;39.905406;116.385215;05/03/11;01:16:38
User 1;39.905801;116.205952;01/03/12;23:33:18
User 1;39.905475;116.385194;15/04/12;01:06:33
User 1;39.900595;116.386606;10/08/12;10:03:53
